jk,tb,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
Laki-Laki,65,-0.3521,7.4327,0.08217,5.9,6.3,6.9,7.4,8.1,8.8,9.6
Laki-Laki,65.5,-0.3521,7.5504,0.08214,6,6.4,7,7.6,8.2,8.9,9.8
Laki-Laki,66,-0.3521,7.6673,0.08212,6.1,6.5,7.1,7.7,8.3,9.1,9.9
Laki-Laki,66.5,-0.3521,7.7834,0.08212,6.1,6.6,7.2,7.8,8.5,9.2,10.1
Laki-Laki,67,-0.3521,7.8986,0.08213,6.2,6.7,7.3,7.9,8.6,9.4,10.2
Laki-Laki,67.5,-0.3521,8.0132,0.08214,6.3,6.8,7.4,8,8.7,9.5,10.4
Laki-Laki,68,-0.3521,8.1272,0.08217,6.4,6.9,7.5,8.1,8.8,9.6,10.5
Laki-Laki,68.5,-0.3521,8.241,0.08221,6.5,7,7.6,8.2,9,9.8,10.7
Laki-Laki,69,-0.3521,8.3547,0.08226,6.6,7.1,7.7,8.4,9.1,9.9,10.8
Laki-Laki,69.5,-0.3521,8.468,0.08231,6.7,7.2,7.8,8.5,9.2,10,11
Laki-Laki,70,-0.3521,8.5808,0.08237,6.8,7.3,7.9,8.6,9.3,10.2,11.1
Laki-Laki,70.5,-0.3521,8.6927,0.08243,6.9,7.4,8,8.7,9.5,10.3,11.3
Laki-Laki,71,-0.3521,8.8036,0.0825,6.9,7.5,8.1,8.8,9.6,10.4,11.4
Laki-Laki,71.5,-0.3521,8.9135,0.08257,7,7.6,8.2,8.9,9.7,10.6,11.6
Laki-Laki,72,-0.3521,9.0221,0.08264,7.1,7.7,8.3,9,9.8,10.7,11.7
Laki-Laki,72.5,-0.3521,9.1292,0.08272,7.2,7.8,8.4,9.1,9.9,10.8,11.8
Laki-Laki,73,-0.3521,9.2347,0.08278,7.3,7.9,8.5,9.2,10,11,12
Laki-Laki,73.5,-0.3521,9.339,0.08285,7.4,7.9,8.6,9.3,10.2,11.1,12.1
Laki-Laki,74,-0.3521,9.442,0.08292,7.4,8,8.7,9.4,10.3,11.2,12.2
Laki-Laki,74.5,-0.3521,9.5438,0.08298,7.5,8.1,8.8,9.5,10.4,11.3,12.4
Laki-Laki,75,-0.3521,9.644,0.08303,7.6,8.2,8.9,9.6,10.5,11.4,12.5
Laki-Laki,75.5,-0.3521,9.7425,0.08308,7.7,8.3,9,9.7,10.6,11.6,12.6
Laki-Laki,76,-0.3521,9.8392,0.08312,7.7,8.4,9.1,9.8,10.7,11.7,12.8
Laki-Laki,76.5,-0.3521,9.9341,0.08315,7.8,8.5,9.2,9.9,10.8,11.8,12.9
Laki-Laki,77,-0.3521,10.0274,0.08317,7.9,8.5,9.2,10,10.9,11.9,13
Laki-Laki,77.5,-0.3521,10.1194,0.08318,8,8.6,9.3,10.1,11,12,13.1
Laki-Laki,78,-0.3521,10.2105,0.08317,8,8.7,9.4,10.2,11.1,12.1,13.3
Laki-Laki,78.5,-0.3521,10.3012,0.08315,8.1,8.8,9.5,10.3,11.2,12.2,13.4
Laki-Laki,79,-0.3521,10.3923,0.08311,8.2,8.8,9.6,10.4,11.3,12.3,13.5
Laki-Laki,79.5,-0.3521,10.4845,0.08305,8.3,8.9,9.7,10.5,11.4,12.4,13.6
Laki-Laki,80,-0.3521,10.5781,0.08298,8.3,9,9.7,10.6,11.5,12.6,13.7
Laki-Laki,80.5,-0.3521,10.6737,0.0829,8.4,9.1,9.8,10.7,11.6,12.7,13.8
Laki-Laki,81,-0.3521,10.7718,0.08279,8.5,9.2,9.9,10.8,11.7,12.8,14
Laki-Laki,81.5,-0.3521,10.8728,0.08268,8.6,9.3,10,10.9,11.8,12.9,14.1
