jk,tb,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
Laki-Laki,82,-0.3521,10.9772,0.08255,8.7,9.3,10.1,11,11.9,13,14.2
Laki-Laki,82.5,-0.3521,11.0851,0.08241,8.7,9.4,10.2,11.1,12.1,13.1,14.4
Laki-Laki,83,-0.3521,11.1966,0.08225,8.8,9.5,10.3,11.2,12.2,13.3,14.5
Laki-Laki,83.5,-0.3521,11.3114,0.08209,8.9,9.6,10.4,11.3,12.3,13.4,14.6
Laki-Laki,84,-0.3521,11.429,0.08191,9,9.7,10.5,11.4,12.4,13.5,14.8
Laki-Laki,84.5,-0.3521,11.549,0.08174,9.1,9.9,10.7,11.5,12.5,13.7,14.9
Laki-Laki,85,-0.3521,11.6707,0.08156,9.2,10,10.8,11.7,12.7,13.8,15.1
Laki-Laki,85.5,-0.3521,11.7937,0.08138,9.3,10.1,10.9,11.8,12.8,13.9,15.2
Laki-Laki,86,-0.3521,11.9173,0.08121,9.4,10.2,11,11.9,12.9,14.1,15.4
Laki-Laki,86.5,-0.3521,12.0411,0.08105,9.5,10.3,11.1,12,13.1,14.2,15.5
Laki-Laki,87,-0.3521,12.1645,0.0809,9.6,10.4,11.2,12.2,13.2,14.4,15.7
Laki-Laki,87.5,-0.3521,12.2871,0.08076,9.7,10.5,11.3,12.3,13.3,14.5,15.8
Laki-Laki,88,-0.3521,12.4089,0.08064,9.8,10.6,11.5,12.4,13.5,14.7,16
Laki-Laki,88.5,-0.3521,12.5298,0.08054,9.9,10.7,11.6,12.5,13.6,14.8,16.1
Laki-Laki,89,-0.3521,12.6495,0.08045,10,10.8,11.7,12.6,13.7,14.9,16.3
Laki-Laki,89.5,-0.3521,12.7683,0.08038,10.1,10.9,11.8,12.8,13.9,15.1,16.4
Laki-Laki,90,-0.3521,12.8864,0.08032,10.2,11,11.9,12.9,14,15.2,16.6
Laki-Laki,90.5,-0.3521,13.0038,0.08028,10.3,11.1,12,13,14.1,15.3,16.7
Laki-Laki,91,-0.3521,13.1209,0.08025,10.4,11.2,12.1,13.1,14.2,15.5,16.9
Laki-Laki,91.5,-0.3521,13.2376,0.08024,10.5,11.3,12.2,13.2,14.4,15.6,17
Laki-Laki,92,-0.3521,13.3541,0.08025,10.6,11.4,12.3,13.4,14.5,15.8,17.2
Laki-Laki,92.5,-0.3521,13.4705,0.08027,10.7,11.5,12.4,13.5,14.6,15.9,17.3
Laki-Laki,93,-0.3521,13.587,0.08031,10.8,11.6,12.6,13.6,14.7,16,17.5
Laki-Laki,93.5,-0.3521,13.7041,0.08036,10.9,11.7,12.7,13.7,14.9,16.2,17.6
Laki-Laki,94,-0.3521,13.8217,0.08043,11,11.8,12.8,13.8,15,16.3,17.8
Laki-Laki,94.5,-0.3521,13.9403,0.08051,11.1,11.9,12.9,13.9,15.1,16.5,17.9
Laki-Laki,95,-0.3521,14.06,0.0806,11.1,12,13,14.1,15.3,16.6,18.1
Laki-Laki,95.5,-0.3521,14.1811,0.08071,11.2,12.1,13.1,14.2,15.4,16.7,18.3
Laki-Laki,96,-0.3521,14.3037,0.08083,11.3,12.2,13.2,14.3,15.5,16.9,18.4
Laki-Laki,96.5,-0.3521,14.4282,0.08097,11.4,12.3,13.3,14.4,15.7,17,18.6
Laki-Laki,97,-0.3521,14.5547,0.08112,11.5,12.4,13.4,14.6,15.8,17.2,18.8
Laki-Laki,97.5,-0.3521,14.6832,0.08129,11.6,12.5,13.6,14.7,15.9,17.4,18.9
Laki-Laki,98,-0.3521,14.814,0.08146,11.7,12.6,13.7,14.8,16.1,17.5,19.1
Laki-Laki,98.5,-0.3521,14.9468,0.08165,11.8,12.8,13.8,14.9,16.2,17.7,19.3
Laki-Laki,99,-0.3521,15.0818,0.08185,11.9,12.9,13.9,15.1,16.4,17.9,19.5
Laki-Laki,99.5,-0.3521,15.2187,0.08206,12,13,14,15.2,16.5,18,19.7
Laki-Laki,100,-0.3521,15.3576,0.08229,12.1,13.1,14.2,15.4,16.7,18.2,19.9
Laki-Laki,100.5,-0.3521,15.4985,0.08252,12.2,13.2,14.3,15.5,16.9,18.4,20.1
Laki-Laki,101,-0.3521,15.6412,0.08277,12.3,13.3,14.4,15.6,17,18.5,20.3
Laki-Laki,101.5,-0.3521,15.7857,0.08302,12.4,13.4,14.5,15.8,17.2,18.7,20.5
Laki-Laki,102,-0.3521,15.932,0.08328,12.5,13.6,14.7,15.9,17.3,18.9,20.7
Laki-Laki,102.5,-0.3521,16.0801,0.08354,12.6,13.7,14.8,16.1,17.5,19.1,20.9
Laki-Laki,103,-0.3521,16.2298,0.08381,12.8,13.8,14.9,16.2,17.7,19.3,21.1
Laki-Laki,103.5,-0.3521,16.3812,0.08408,12.9,13.9,15.1,16.4,17.8,19.5,21.3
Laki-Laki,104,-0.3521,16.5342,0.08436,13,14,15.2,16.5,18,19.7,21.6
Laki-Laki,104.5,-0.3521,16.6889,0.08464,13.1,14.2,15.4,16.7,18.2,19.9,21.8
Laki-Laki,105,-0.3521,16.8454,0.08493,13.2,14.3,15.5,16.8,18.4,20.1,22
Laki-Laki,105.5,-0.3521,17.0036,0.08521,13.3,14.4,15.6,17,18.5,20.3,22.2
Laki-Laki,106,-0.3521,17.1637,0.08551,13.4,14.5,15.8,17.2,18.7,20.5,22.5
Laki-Laki,106.5,-0.3521,17.3256,0.0858,13.5,14.7,15.9,17.3,18.9,20.7,22.7
Laki-Laki,107,-0.3521,17.4894,0.08611,13.7,14.8,16.1,17.5,19.1,20.9,22.9
Laki-Laki,107.5,-0.3521,17.655,0.08641,13.8,14.9,16.2,17.7,19.3,21.1,23.2
Laki-Laki,108,-0.3521,17.8226,0.08673,13.9,15.1,16.4,17.8,19.5,21.3,23.4
Laki-Laki,108.5,-0.3521,17.9924,0.08704,14,15.2,16.5,18,19.7,21.5,23.7
Laki-Laki,109,-0.3521,18.1645,0.08736,14.1,15.3,16.7,18.2,19.8,21.8,23.9
Laki-Laki,109.5,-0.3521,18.339,0.08768,14.3,15.5,16.8,18.3,20,22,24.2
Laki-Laki,110,-0.3521,18.5158,0.088,14.4,15.6,17,18.5,20.2,22.2,24.4
Laki-Laki,110.5,-0.3521,18.6948,0.08832,14.5,15.8,17.1,18.7,20.4,22.4,24.7
Laki-Laki,111,-0.3521,18.8759,0.08864,14.6,15.9,17.3,18.9,20.7,22.7,25
Laki-Laki,111.5,-0.3521,19.059,0.08896,14.8,16,17.5,19.1,20.9,22.9,25.2
Laki-Laki,112,-0.3521,19.2439,0.08928,14.9,16.2,17.6,19.2,21.1,23.1,25.5
Laki-Laki,112.5,-0.3521,19.4304,0.0896,15,16.3,17.8,19.4,21.3,23.4,25.8
Laki-Laki,113,-0.3521,19.6185,0.08991,15.2,16.5,18,19.6,21.5,23.6,26
Laki-Laki,113.5,-0.3521,19.8081,0.09022,15.3,16.6,18.1,19.8,21.7,23.9,26.3
Laki-Laki,114,-0.3521,19.999,0.09054,15.4,16.8,18.3,20,21.9,24.1,26.6
Laki-Laki,114.5,-0.3521,20.1912,0.09085,15.6,16.9,18.5,20.2,22.1,24.4,26.9
Laki-Laki,115,-0.3521,20.3846,0.09116,15.7,17.1,18.6,20.4,22.4,24.6,27.2
Laki-Laki,115.5,-0.3521,20.5789,0.09147,15.8,17.2,18.8,20.6,22.6,24.9,27.5
Laki-Laki,116,-0.3521,20.7741,0.09177,16,17.4,19,20.8,22.8,25.1,27.8
Laki-Laki,116.5,-0.3521,20.97,0.09208,16.1,17.5,19.2,21,23,25.4,28
Laki-Laki,117,-0.3521,21.1666,0.09239,16.2,17.7,19.3,21.2,23.3,25.6,28.3
Laki-Laki,117.5,-0.3521,21.3636,0.0927,16.4,17.9,19.5,21.4,23.5,25.9,28.6
Laki-Laki,118,-0.3521,21.5611,0.093,16.5,18,19.7,21.6,23.7,26.1,28.9
Laki-Laki,118.5,-0.3521,21.7588,0.09331,16.7,18.2,19.9,21.8,23.9,26.4,29.2
Laki-Laki,119,-0.3521,21.9568,0.09362,16.8,18.3,20,22,24.1,26.6,29.5
Laki-Laki,119.5,-0.3521,22.1549,0.09393,16.9,18.5,20.2,22.2,24.4,26.9,29.8
Laki-Laki,120,-0.3521,22.353,0.09424,17.1,18.6,20.4,22.4,24.6,27.2,30.1
Perempuan,65,-0.3833,7.2402,0.09113,5.6,6.1,6.6,7.2,7.9,8.7,9.7
Perempuan,65.5,-0.3833,7.3523,0.09109,5.7,6.2,6.7,7.4,8.1,8.9,9.8
Perempuan,66,-0.3833,7.463,0.09104,5.8,6.3,6.8,7.5,8.2,9,10
Perempuan,66.5,-0.3833,7.5724,0.09099,5.8,6.4,6.9,7.6,8.3,9.1,10.1
Perempuan,67,-0.3833,7.6806,0.09094,5.9,6.4,7,7.7,8.4,9.3,10.2
Perempuan,67.5,-0.3833,7.7874,0.09088,6,6.5,7.1,7.8,8.5,9.4,10.4
Perempuan,68,-0.3833,7.893,0.09083,6.1,6.6,7.2,7.9,8.7,9.5,10.5
Perempuan,68.5,-0.3833,7.9976,0.09077,6.2,6.7,7.3,8,8.8,9.7,10.7
Perempuan,69,-0.3833,8.1012,0.09071,6.3,6.8,7.4,8.1,8.9,9.8,10.8
Perempuan,69.5,-0.3833,8.2039,0.09065,6.3,6.9,7.5,8.2,9,9.9,10.9
Perempuan,70,-0.3833,8.3058,0.09059,6.4,7,7.6,8.3,9.1,10,11.1
Perempuan,70.5,-0.3833,8.4071,0.09053,6.5,7.1,7.7,8.4,9.2,10.1,11.2
Perempuan,71,-0.3833,8.5078,0.09047,6.6,7.1,7.8,8.5,9.3,10.3,11.3
Perempuan,71.5,-0.3833,8.6078,0.09041,6.7,7.2,7.9,8.6,9.4,10.4,11.5
Perempuan,72,-0.3833,8.707,0.09035,6.7,7.3,8,8.7,9.5,10.5,11.6
Perempuan,72.5,-0.3833,8.8053,0.09028,6.8,7.4,8.1,8.8,9.7,10.6,11.7
Perempuan,73,-0.3833,8.9025,0.09022,6.9,7.5,8.1,8.9,9.8,10.7,11.8
Perempuan,73.5,-0.3833,8.9983,0.09016,7,7.6,8.2,9,9.9,10.8,12
Perempuan,74,-0.3833,9.0928,0.09009,7,7.6,8.3,9.1,10,11,12.1
Perempuan,74.5,-0.3833,9.1862,0.09003,7.1,7.7,8.4,9.2,10.1,11.1,12.2
Perempuan,75,-0.3833,9.2786,0.08996,7.2,7.8,8.5,9.3,10.2,11.2,12.3
Perempuan,75.5,-0.3833,9.3703,0.08989,7.2,7.9,8.6,9.4,10.3,11.3,12.5
Perempuan,76,-0.3833,9.4617,0.08983,7.3,8,8.7,9.5,10.4,11.4,12.6
Perempuan,76.5,-0.3833,9.5533,0.08976,7.4,8,8.7,9.6,10.5,11.5,12.7
Perempuan,77,-0.3833,9.6456,0.08969,7.5,8.1,8.8,9.6,10.6,11.6,12.8
Perempuan,77.5,-0.3833,9.739,0.08963,7.5,8.2,8.9,9.7,10.7,11.7,12.9
Perempuan,78,-0.3833,9.8338,0.08956,7.6,8.3,9,9.8,10.8,11.8,13.1
Perempuan,78.5,-0.3833,9.9303,0.0895,7.7,8.4,9.1,9.9,10.9,12,13.2
Perempuan,79,-0.3833,10.0289,0.08943,7.8,8.4,9.2,10,11,12.1,13.3
Perempuan,79.5,-0.3833,10.1298,0.08937,7.8,8.5,9.3,10.1,11.1,12.2,13.4
Perempuan,80,-0.3833,10.2332,0.08932,7.9,8.6,9.4,10.2,11.2,12.3,13.6
Perempuan,80.5,-0.3833,10.3393,0.08926,8,8.7,9.5,10.3,11.3,12.4,13.7
Perempuan,81,-0.3833,10.4477,0.08921,8.1,8.8,9.6,10.4,11.4,12.6,13.9
Perempuan,81.5,-0.3833,10.5586,0.08916,8.2,8.9,9.7,10.6,11.6,12.7,14
Perempuan,82,-0.3833,10.6719,0.08912,8.3,9,9.8,10.7,11.7,12.8,14.1
Perempuan,82.5,-0.3833,10.7874,0.08908,8.4,9.1,9.9,10.8,11.8,13,14.3
Perempuan,83,-0.3833,10.9051,0.08905,8.5,9.2,10,10.9,11.9,13.1,14.5
Perempuan,83.5,-0.3833,11.0248,0.08902,8.5,9.3,10.1,11,12.1,13.3,14.6
Perempuan,84,-0.3833,11.1462,0.08899,8.6,9.4,10.2,11.1,12.2,13.4,14.8
Perempuan,84.5,-0.3833,11.2691,0.08897,8.7,9.5,10.3,11.3,12.3,13.5,14.9
Perempuan,85,-0.3833,11.3934,0.08896,8.8,9.6,10.4,11.4,12.5,13.7,15.1
Perempuan,85.5,-0.3833,11.5186,0.08895,8.9,9.7,10.6,11.5,12.6,13.8,15.3
Perempuan,86,-0.3833,11.6444,0.08895,9,9.8,10.7,11.6,12.7,14,15.4
Perempuan,86.5,-0.3833,11.7705,0.08895,9.1,9.9,10.8,11.8,12.9,14.2,15.6
Perempuan,87,-0.3833,11.8965,0.08896,9.2,10,10.9,11.9,13,14.3,15.8
Perempuan,87.5,-0.3833,12.0223,0.08897,9.3,10.1,11,12,13.2,14.5,15.9
Perempuan,88,-0.3833,12.1478,0.08899,9.4,10.2,11.1,12.1,13.3,14.6,16.1
Perempuan,88.5,-0.3833,12.2729,0.08901,9.5,10.3,11.2,12.3,13.4,14.8,16.3
Perempuan,89,-0.3833,12.3976,0.08904,9.6,10.4,11.4,12.4,13.6,14.9,16.4
Perempuan,89.5,-0.3833,12.522,0.08907,9.7,10.5,11.5,12.5,13.7,15.1,16.6
Perempuan,90,-0.3833,12.6461,0.08911,9.8,10.6,11.6,12.6,13.8,15.2,16.8
Perempuan,90.5,-0.3833,12.77,0.08915,9.9,10.7,11.7,12.8,14,15.4,16.9
Perempuan,91,-0.3833,12.8939,0.0892,10,10.9,11.8,12.9,14.1,15.5,17.1
Perempuan,91.5,-0.3833,13.0177,0.08925,10.1,11,11.9,13,14.3,15.7,17.3
Perempuan,92,-0.3833,13.1415,0.08931,10.2,11.1,12,13.1,14.4,15.8,17.4
Perempuan,92.5,-0.3833,13.2654,0.08937,10.3,11.2,12.1,13.3,14.5,16,17.6
Perempuan,93,-0.3833,13.3896,0.08944,10.4,11.3,12.3,13.4,14.7,16.1,17.8
Perempuan,93.5,-0.3833,13.5142,0.08951,10.5,11.4,12.4,13.5,14.8,16.3,17.9
Perempuan,94,-0.3833,13.6393,0.08959,10.6,11.5,12.5,13.6,14.9,16.4,18.1
Perempuan,94.5,-0.3833,13.765,0.08967,10.7,11.6,12.6,13.8,15.1,16.6,18.3
Perempuan,95,-0.3833,13.8914,0.08975,10.8,11.7,12.7,13.9,15.2,16.7,18.5
Perempuan,95.5,-0.3833,14.0186,0.08984,10.8,11.8,12.8,14,15.4,16.9,18.6
Perempuan,96,-0.3833,14.1466,0.08994,10.9,11.9,12.9,14.1,15.5,17,18.8
Perempuan,96.5,-0.3833,14.2757,0.09004,11,12,13.1,14.3,15.6,17.2,19
Perempuan,97,-0.3833,14.4059,0.09015,11.1,12.1,13.2,14.4,15.8,17.4,19.2
Perempuan,97.5,-0.3833,14.5376,0.09026,11.2,12.2,13.3,14.5,15.9,17.5,19.3
Perempuan,98,-0.3833,14.671,0.09037,11.3,12.3,13.4,14.7,16.1,17.7,19.5
Perempuan,98.5,-0.3833,14.8062,0.09049,11.4,12.4,13.5,14.8,16.2,17.9,19.7
Perempuan,99,-0.3833,14.9434,0.09062,11.5,12.5,13.7,14.9,16.4,18,19.9
Perempuan,99.5,-0.3833,15.0828,0.09075,11.6,12.7,13.8,15.1,16.5,18.2,20.1
Perempuan,100,-0.3833,15.2246,0.09088,11.7,12.8,13.9,15.2,16.7,18.4,20.3
Perempuan,100.5,-0.3833,15.3687,0.09102,11.9,12.9,14.1,15.4,16.9,18.6,20.5
Perempuan,101,-0.3833,15.5154,0.09116,12,13,14.2,15.5,17,18.7,20.7
Perempuan,101.5,-0.3833,15.6646,0.09131,12.1,13.1,14.3,15.7,17.2,18.9,20.9
Perempuan,102,-0.3833,15.8164,0.09146,12.2,13.3,14.5,15.8,17.4,19.1,21.1
Perempuan,102.5,-0.3833,15.9707,0.09161,12.3,13.4,14.6,16,17.5,19.3,21.4
Perempuan,103,-0.3833,16.1276,0.09177,12.4,13.5,14.7,16.1,17.7,19.5,21.6
Perempuan,103.5,-0.3833,16.287,0.09193,12.5,13.6,14.9,16.3,17.9,19.7,21.8
Perempuan,104,-0.3833,16.4488,0.09209,12.6,13.8,15,16.4,18.1,19.9,22
Perempuan,104.5,-0.3833,16.6131,0.09226,12.8,13.9,15.2,16.6,18.2,20.1,22.3
Perempuan,105,-0.3833,16.78,0.09243,12.9,14,15.3,16.8,18.4,20.3,22.5
Perempuan,105.5,-0.3833,16.9496,0.09261,13,14.2,15.5,16.9,18.6,20.5,22.7
Perempuan,106,-0.3833,17.122,0.09278,13.1,14.3,15.6,17.1,18.8,20.8,23
Perempuan,106.5,-0.3833,17.2973,0.09296,13.3,14.5,15.8,17.3,19,21,23.2
Perempuan,107,-0.3833,17.4755,0.09315,13.4,14.6,15.9,17.5,19.2,21.2,23.5
Perempuan,107.5,-0.3833,17.6567,0.09333,13.5,14.7,16.1,17.7,19.4,21.4,23.7
Perempuan,108,-0.3833,17.8407,0.09352,13.7,14.9,16.3,17.8,19.6,21.7,24
Perempuan,108.5,-0.3833,18.0277,0.09371,13.8,15,16.4,18,19.8,21.9,24.3
Perempuan,109,-0.3833,18.2174,0.0939,13.9,15.2,16.6,18.2,20,22.1,24.5
Perempuan,109.5,-0.3833,18.4096,0.09409,14.1,15.4,16.8,18.4,20.3,22.4,24.8
Perempuan,110,-0.3833,18.6043,0.09428,14.2,15.5,17,18.6,20.5,22.6,25.1
Perempuan,110.5,-0.3833,18.8015,0.09448,14.4,15.7,17.1,18.8,20.7,22.9,25.4
Perempuan,111,-0.3833,19.0009,0.09467,14.5,15.8,17.3,19,20.9,23.1,25.7
Perempuan,111.5,-0.3833,19.2024,0.09487,14.7,16,17.5,19.2,21.2,23.4,26
Perempuan,112,-0.3833,19.406,0.09507,14.8,16.2,17.7,19.4,21.4,23.6,26.2
Perempuan,112.5,-0.3833,19.6116,0.09527,15,16.3,17.9,19.6,21.6,23.9,26.5
Perempuan,113,-0.3833,19.819,0.09546,15.1,16.5,18,19.8,21.8,24.2,26.8
Perempuan,113.5,-0.3833,20.028,0.09566,15.3,16.7,18.2,20,22.1,24.4,27.1
Perempuan,114,-0.3833,20.2385,0.09586,15.4,16.8,18.4,20.2,22.3,24.7,27.4
Perempuan,114.5,-0.3833,20.4502,0.09606,15.6,17,18.6,20.5,22.6,25,27.8
Perempuan,115,-0.3833,20.6629,0.09626,15.7,17.2,18.8,20.7,22.8,25.2,28.1
Perempuan,115.5,-0.3833,20.8766,0.09646,15.9,17.3,19,20.9,23,25.5,28.4
Perempuan,116,-0.3833,21.0909,0.09666,16,17.5,19.2,21.1,23.3,25.8,28.7
Perempuan,116.5,-0.3833,21.3059,0.09686,16.2,17.7,19.4,21.3,23.5,26.1,29
Perempuan,117,-0.3833,21.5213,0.09707,16.3,17.8,19.6,21.5,23.8,26.3,29.3
Perempuan,117.5,-0.3833,21.737,0.09727,16.5,18,19.8,21.7,24,26.6,29.6
Perempuan,118,-0.3833,21.9529,0.09747,16.6,18.2,19.9,22,24.2,26.9,29.9
Perempuan,118.5,-0.3833,22.169,0.09767,16.8,18.4,20.1,22.2,24.5,27.2,30.3
Perempuan,119,-0.3833,22.3851,0.09788,16.9,18.5,20.3,22.4,24.7,27.4,30.6
Perempuan,119.5,-0.3833,22.6012,0.09808,17.1,18.7,20.5,22.6,25,27.7,30.9
Perempuan,120,-0.3833,22.8173,0.09828,17.3,18.9,20.7,22.8,25.2,28,31.2
